[RUN] AUH_HepG2_20260706-193105
[DIR] logs=results/logs model=results/model metrics=results/metrics
[CFG] results/logs/AUH_HepG2_20260706-193105_config.json
AUH_HepG2 	 Train Epoch: 1     avg.loss: 0.9529 Acc: 0.67%, AUC: 0.7654, PRC: 0.6420, MCC: 0.3384, lr: 0.000040
AUH_HepG2 	 Test  Epoch: 1     avg.loss: 0.8727 Acc: 0.74%, AUC: 0.7954 (0.7954), PRC: 0.6704, MCC: 0.3595, 1
AUH_HepG2 	 Train Epoch: 2     avg.loss: 0.6501 Acc: 0.77%, AUC: nan, PRC: 0.7648, MCC: 0.5193, lr: 0.000080
AUH_HepG2 	 Test  Epoch: 2     avg.loss: 0.7164 Acc: 0.77%, AUC: 0.8294 (0.8294), PRC: 0.7248, MCC: 0.4509, 2
AUH_HepG2 	 Train Epoch: 3     avg.loss: 0.6341 Acc: 0.78%, AUC: 0.8623, PRC: 0.7719, MCC: 0.5419, lr: 0.000120
AUH_HepG2 	 Test  Epoch: 3     avg.loss: 0.7656 Acc: 0.77%, AUC: 0.8336 (0.8336), PRC: 0.7316, MCC: 0.4461, 3
AUH_HepG2 	 Train Epoch: 4     avg.loss: 0.6241 Acc: 0.79%, AUC: 0.8697, PRC: 0.7803, MCC: 0.5517, lr: 0.000160
AUH_HepG2 	 Test  Epoch: 4     avg.loss: 0.9640 Acc: 0.74%, AUC: 0.8370 (0.8370), PRC: 0.7339, MCC: 0.3929, 4
AUH_HepG2 	 Train Epoch: 5     avg.loss: 0.6120 Acc: 0.79%, AUC: 0.8782, PRC: 0.7962, MCC: 0.5723, lr: 0.000200
AUH_HepG2 	 Test  Epoch: 5     avg.loss: 0.6599 Acc: 0.78%, AUC: 0.8441 (0.8441), PRC: 0.7534, MCC: 0.5068, 5
AUH_HepG2 	 Train Epoch: 6     avg.loss: 0.6118 Acc: 0.79%, AUC: 0.8808, PRC: 0.8011, MCC: 0.5669, lr: 0.000240
AUH_HepG2 	 Test  Epoch: 6     avg.loss: 0.7290 Acc: 0.78%, AUC: 0.8471 (0.8471), PRC: 0.7502, MCC: 0.4721, 6
AUH_HepG2 	 Train Epoch: 7     avg.loss: 0.6056 Acc: 0.80%, AUC: nan, PRC: 0.8113, MCC: 0.5850, lr: 0.000280
AUH_HepG2 	 Test  Epoch: 7     avg.loss: 1.0324 Acc: 0.73%, AUC: 0.8434 (0.8471), PRC: 0.7448, MCC: 0.3476, 6
AUH_HepG2 	 Train Epoch: 8     avg.loss: 0.5853 Acc: 0.80%, AUC: nan, PRC: 0.8282, MCC: 0.5830, lr: 0.000320
AUH_HepG2 	 Test  Epoch: 8     avg.loss: 0.7143 Acc: 0.78%, AUC: 0.8500 (0.8500), PRC: 0.7526, MCC: 0.4839, 8
AUH_HepG2 	 Train Epoch: 9     avg.loss: 0.5762 Acc: 0.80%, AUC: 0.8955, PRC: 0.8194, MCC: 0.5945, lr: 0.000360
AUH_HepG2 	 Test  Epoch: 9     avg.loss: 0.6770 Acc: 0.79%, AUC: 0.8473 (0.8500), PRC: 0.7547, MCC: 0.5223, 8
AUH_HepG2 	 Train Epoch: 10     avg.loss: 0.5734 Acc: 0.81%, AUC: nan, PRC: 0.8404, MCC: 0.6103, lr: 0.000400
AUH_HepG2 	 Test  Epoch: 10     avg.loss: 0.8251 Acc: 0.61%, AUC: 0.8434 (0.8500), PRC: 0.7439, MCC: 0.3915, 8
AUH_HepG2 	 Train Epoch: 11     avg.loss: 0.5854 Acc: 0.81%, AUC: 0.9072, PRC: 0.8435, MCC: 0.6131, lr: 0.000440
AUH_HepG2 	 Test  Epoch: 11     avg.loss: 0.6638 Acc: 0.79%, AUC: 0.8451 (0.8500), PRC: 0.7469, MCC: 0.5230, 8
AUH_HepG2 	 Train Epoch: 12     avg.loss: 0.5768 Acc: 0.81%, AUC: 0.9159, PRC: 0.8522, MCC: 0.6214, lr: 0.000480
AUH_HepG2 	 Test  Epoch: 12     avg.loss: 0.9803 Acc: 0.76%, AUC: 0.8466 (0.8500), PRC: 0.7489, MCC: 0.4303, 8
AUH_HepG2 	 Train Epoch: 13     avg.loss: 0.5405 Acc: 0.82%, AUC: 0.9189, PRC: 0.8559, MCC: 0.6323, lr: 0.000520
AUH_HepG2 	 Test  Epoch: 13     avg.loss: 0.9263 Acc: 0.76%, AUC: 0.8258 (0.8500), PRC: 0.7270, MCC: 0.4209, 8
AUH_HepG2 	 Train Epoch: 14     avg.loss: 0.5370 Acc: 0.82%, AUC: 0.9259, PRC: 0.8688, MCC: 0.6450, lr: 0.000560
AUH_HepG2 	 Test  Epoch: 14     avg.loss: 0.9380 Acc: 0.77%, AUC: 0.8362 (0.8500), PRC: 0.7320, MCC: 0.4419, 8
AUH_HepG2 	 Train Epoch: 15     avg.loss: 0.5493 Acc: 0.82%, AUC: 0.9279, PRC: 0.8738, MCC: 0.6462, lr: 0.000600
AUH_HepG2 	 Test  Epoch: 15     avg.loss: 1.0522 Acc: 0.75%, AUC: 0.8450 (0.8500), PRC: 0.7422, MCC: 0.4048, 8
AUH_HepG2 	 Train Epoch: 16     avg.loss: 0.5475 Acc: 0.82%, AUC: 0.9298, PRC: 0.8738, MCC: 0.6420, lr: 0.000640
AUH_HepG2 	 Test  Epoch: 16     avg.loss: 0.9166 Acc: 0.77%, AUC: 0.8673 (0.8673), PRC: 0.7742, MCC: 0.4622, 16
AUH_HepG2 	 Train Epoch: 17     avg.loss: 0.5347 Acc: 0.83%, AUC: 0.9412, PRC: 0.8932, MCC: 0.6656, lr: 0.000680
AUH_HepG2 	 Test  Epoch: 17     avg.loss: 0.8884 Acc: 0.78%, AUC: 0.8526 (0.8673), PRC: 0.7579, MCC: 0.4779, 16
AUH_HepG2 	 Train Epoch: 18     avg.loss: 0.4780 Acc: 0.84%, AUC: 0.9389, PRC: 0.8885, MCC: 0.6805, lr: 0.000720
AUH_HepG2 	 Test  Epoch: 18     avg.loss: 0.6372 Acc: 0.80%, AUC: 0.8584 (0.8673), PRC: 0.7596, MCC: 0.5407, 16
AUH_HepG2 	 Train Epoch: 19     avg.loss: 0.4706 Acc: 0.85%, AUC: 0.9475, PRC: 0.9072, MCC: 0.6994, lr: 0.000760
AUH_HepG2 	 Test  Epoch: 19     avg.loss: 0.6807 Acc: 0.79%, AUC: 0.8478 (0.8673), PRC: 0.7368, MCC: 0.5246, 16
AUH_HepG2 	 Train Epoch: 20     avg.loss: 0.4644 Acc: 0.85%, AUC: 0.9494, PRC: 0.9056, MCC: 0.7029, lr: 0.000800
AUH_HepG2 	 Test  Epoch: 20     avg.loss: 0.9822 Acc: 0.78%, AUC: 0.8516 (0.8673), PRC: 0.7525, MCC: 0.4835, 16
AUH_HepG2 	 Train Epoch: 21     avg.loss: 0.4466 Acc: 0.86%, AUC: 0.9540, PRC: 0.9140, MCC: 0.7211, lr: 0.000840
AUH_HepG2 	 Test  Epoch: 21     avg.loss: 0.6708 Acc: 0.75%, AUC: 0.8701 (0.8701), PRC: 0.7783, MCC: 0.5268, 21
AUH_HepG2 	 Train Epoch: 22     avg.loss: 0.4217 Acc: 0.87%, AUC: 0.9608, PRC: 0.9274, MCC: 0.7341, lr: 0.000880
AUH_HepG2 	 Test  Epoch: 22     avg.loss: 0.7944 Acc: 0.80%, AUC: 0.8575 (0.8701), PRC: 0.7744, MCC: 0.5312, 21
AUH_HepG2 	 Train Epoch: 23     avg.loss: 0.4499 Acc: 0.86%, AUC: 0.9607, PRC: 0.9255, MCC: 0.7251, lr: 0.000920
