local_filename,query_gene,uniprot_accession,local_header,local_length,uniprot_length,length_ratio,kmer_coverage,exact_substring,flag
AARS,AARS,P49588,"sp|P49588.2|SYAC_HUMAN RecName: Full=Alanine--tRNA ligase, cytoplasmic; AltName: Full=Alanyl-tRNA synthetase; Short=AlaRS; AltName: Full=Renal carcinoma antigen NY-REN-42",968,968,1.0,1.0,True,MATCH
AATF,AATF,Q9NY61,NP_001398023.1 protein AATF isoform 2 [Homo sapiens],536,560,0.9571,0.9848,False,INCOMPLETE
ABCF1,ABCF1,Q8NE71,UQL51111.1 ABCF1 [Homo sapiens],845,845,1.0,1.0,True,MATCH
AGGF1,AGGF1,Q8N302,"AAH15478.1 AGGF1 protein, partial [Homo sapiens]",414,714,0.5798,0.9852,False,INCOMPLETE
AGO,AGO,,NP_001336727.1 F-box/WD repeat-containing protein 7 isoform 1 [Homo sapiens],707,,,,,NO_UNIPROT_ACCESSION
AKAP1,AKAP1,Q92667,"NP_001357354.1 A-kinase anchor protein 1, mitochondrial precursor [Homo sapiens]",903,903,1.0,1.0,True,MATCH
AKAP8L,AKAP8L,Q9ULX6,NP_055186.3 A-kinase anchor protein 8-like isoform 1 [Homo sapiens],646,646,1.0,1.0,True,MATCH
ALKBH5,ALKBH5,Q6P6C2,NP_060228.3 RNA demethylase ALKBH5 [Homo sapiens],394,394,1.0,1.0,True,MATCH
APOBEC3C,APOBEC3C,Q9NRW3,"EAW60284.1 apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C, isoform CRA_b [Homo sapiens]",190,190,1.0,1.0,True,MATCH
AQR,AQR,O60306,ABQ66265.1 AQR [Homo sapiens],1485,1485,1.0,0.9864,False,INCOMPLETE
ATXN2,ATXN2,Q99700,AAI14547.1 ATXN2 protein [Homo sapiens],1006,1313,0.7662,0.9809,False,INCOMPLETE
AUH,AUH,Q13825,"NP_079034.3 guanidino acid hydrolase, mitochondrial precursor [Homo sapiens]",352,339,1.0383,0.0,False,WRONG_OR_SEVERE_FRAGMENT
BCCIP,BCCIP,Q9P287,NP_510869.1 BRCA2 and CDKN1A-interacting protein isoform C [Homo sapiens],292,314,0.9299,0.8799,False,INCOMPLETE
