dataset,rbp,tier,coverage,defect_kind,evidence
AGO_HEK293,AGO,TIER 1 - WRONG PROTEIN,,wrong protein,"FBXW7 (byte-exact, 707aa); 0 overlap w/ AGO1/2/3; not auto-detectable here since AGO is not a resolvable HGNC symbol on its own -- needs manual paralog disambiguation first"
FMR1_HEK293,FMR1,TIER 1 - WRONG PROTEIN,65/632 = 10%,wrong/unusable fragment,"k-mer overlap 0.143 vs UniProt Q06787; local header: AAN86723.1 FMR1, partial [Homo sapiens]"
FMR1_K562,FMR1,TIER 1 - WRONG PROTEIN,65/632 = 10%,wrong/unusable fragment,"k-mer overlap 0.143 vs UniProt Q06787; local header: AAN86723.1 FMR1, partial [Homo sapiens]"
HNRNPUL1_HepG2,HNRNPUL1,TIER 1 - WRONG PROTEIN,285/856 = 33%,wrong protein/organism,k-mer overlap 0.000 vs UniProt Q9BUJ2; local header: CCO13744.1 alternative protein HNRNPUL1 [Homo sapiens]
HNRNPUL1_K562,HNRNPUL1,TIER 1 - WRONG PROTEIN,285/856 = 33%,wrong protein/organism,k-mer overlap 0.000 vs UniProt Q9BUJ2; local header: CCO13744.1 alternative protein HNRNPUL1 [Homo sapiens]
AUH_HepG2,AUH,TIER 1 - WRONG PROTEIN,352/339 = 104%,wrong protein/organism,"k-mer overlap 0.000 vs UniProt Q13825; local header: NP_079034.3 guanidino acid hydrolase, mitochondrial precurso"
AUH_K562,AUH,TIER 1 - WRONG PROTEIN,352/339 = 104%,wrong protein/organism,"k-mer overlap 0.000 vs UniProt Q13825; local header: NP_079034.3 guanidino acid hydrolase, mitochondrial precurso"
PUS1_K562,PUS1,TIER 1 - WRONG PROTEIN,448/427 = 105%,wrong protein/organism,"k-mer overlap 0.000 vs UniProt Q9Y606; local header: KAG8202666.1 PUS1, partial [Candida africana]"
DGCR8_HEK293T,DGCR8,TIER 2 - incomplete,247/773 = 32%,truncated/short isoform or divergent isoform,"correct protein, 32% length coverage, k-mer identity 0.971"
DGCR8_HepG2,DGCR8,TIER 2 - incomplete,247/773 = 32%,truncated/short isoform or divergent isoform,"correct protein, 32% length coverage, k-mer identity 0.971"
DGCR8_K562,DGCR8,TIER 2 - incomplete,247/773 = 32%,truncated/short isoform or divergent isoform,"correct protein, 32% length coverage, k-mer identity 0.971"
SF3B1_K562,SF3B1,TIER 2 - incomplete,501/1304 = 38%,truncated/short isoform or divergent isoform,"correct protein, 38% length coverage, k-mer identity 0.963"
PABPC4_K562,PABPC4,TIER 2 - incomplete,252/644 = 39%,truncated/short isoform or divergent isoform,"correct protein, 39% length coverage, k-mer identity 0.889"
NIPBL_K562,NIPBL,TIER 2 - incomplete,1176/2804 = 42%,truncated/short isoform or divergent isoform,"correct protein, 42% length coverage, k-mer identity 0.999"
