gene_symbol,source_rbp_names,uniprot_accession,uniprot_length,uniprot_protein_name,uniprot_n_hits,uniprot_ambiguous,uniprot_flag,alphafold_found,alphafold_model_created,alphafold_uniprot_start,alphafold_uniprot_end,alphafold_latest_version,alphafold_http_status
AARS,AARS,P49588,968,"Alanine--tRNA ligase, cytoplasmic",1,False,,True,2025-08-01T00:00:00Z,1,968,6,
AATF,AATF,Q9NY61,560,Protein AATF,1,False,,True,2025-08-01T00:00:00Z,1,560,6,
ABCF1,ABCF1,Q8NE71,845,ATP-binding cassette sub-family F member 1,1,False,,True,2025-08-01T00:00:00Z,1,845,6,
AGGF1,AGGF1,Q8N302,714,Angiogenic factor with G patch and FHA domains 1,1,False,,True,2025-08-01T00:00:00Z,1,714,6,
AGO,AGO,,,,,,NO_REVIEWED_HIT,,,,,,
AKAP1,AKAP1,Q92667,903,"A-kinase anchor protein 1, mitochondrial",1,False,,True,2025-08-01T00:00:00Z,1,903,6,
AKAP8L,AKAP8L,Q9ULX6,646,A-kinase anchor protein 8-like,1,False,,True,2025-08-01T00:00:00Z,1,646,6,
ALKBH5,ALKBH5,Q6P6C2,394,RNA demethylase ALKBH5,1,False,,True,2025-08-01T00:00:00Z,1,394,6,
APOBEC3C,APOBEC3C,Q9NRW3,190,DNA dC->dU-editing enzyme APOBEC-3C,1,False,,True,2025-08-01T00:00:00Z,1,190,6,
AQR,AQR,O60306,1485,RNA helicase aquarius,1,False,,True,2025-08-01T00:00:00Z,1,1485,6,
ATXN2,ATXN2,Q99700,1313,Ataxin-2,1,False,,True,2025-08-01T00:00:00Z,1,1313,6,
AUH,AUH,Q13825,339,"Methylglutaconyl-CoA hydratase, mitochondrial",1,False,,True,2025-08-01T00:00:00Z,1,339,6,
BCCIP,BCCIP,Q9P287,314,BRCA2 and CDKN1A-interacting protein,1,False,,True,2025-08-01T00:00:00Z,1,314,6,
BCLAF1,BCLAF1,Q9NYF8,920,Bcl-2-associated transcription factor 1,1,False,,True,2025-08-01T00:00:00Z,1,920,6,
BUD13,BUD13,Q9BRD0,619,BUD13 homolog,1,False,,True,2025-08-01T00:00:00Z,1,619,6,
C17ORF85,C17ORF85,Q53F19,620,Nuclear cap-binding protein subunit 3,1,False,,True,2025-08-01T00:00:00Z,1,620,6,
C22ORF28,C22ORF28,Q9Y3I0,505,RNA-splicing ligase RTCB,1,False,,True,2025-08-01T00:00:00Z,1,505,6,
CAPRIN1,CAPRIN1,Q14444,709,Caprin-1,1,False,,True,2025-08-01T00:00:00Z,1,709,6,
CDC40,CDC40,O60508,579,Pre-mRNA-processing factor 17,1,False,,True,2025-08-01T00:00:00Z,1,579,6,
CPEB4,CPEB4,Q17RY0,729,Cytoplasmic polyadenylation element-binding protein 4,1,False,,True,2025-08-01T00:00:00Z,1,729,6,
